home_name,link_name,type
Autodesk,Microsoft,partnership
Autodesk,NVIDIA,partnership
Autodesk,Oracle,partnership
Extreme Networks,Microsoft,partnership
Extreme Networks,Palo Alto Networks,partnership
Extreme Networks,Fortinet,partnership
Altair Engineering,AMD,partnership
Altair Engineering,Cisco,partnership
Altair Engineering,Dell,partnership
Altair Engineering,Hewlett Packard,partnership
Altair Engineering,IBM,partnership
Altair Engineering,Intel,partnership
Altair Engineering,Microsoft,partnership
Equinix,NetApp,partnership
Open Technologies,Arista Networks,partnership
Open Technologies,Cisco Systems,partnership
Open Technologies,DELL,partnership
Open Technologies,Extreme Networks,partnership
Open Technologies,F5 Networks,partnership
Open Technologies,Fortinet,partnership
Open Technologies,HP,partnership
Open Technologies,IBM,partnership
Open Technologies,Juniper Networks,partnership
Open Technologies,Microsoft,partnership
Open Technologies,NetApp,partnership
Open Technologies,NVIDIA,partnership
Open Technologies,Symantec,partnership
Zscaler,JABIL,customer
Zscaler,"Johnson Controls, Inc.",customer
Zscaler,Autodesk,customer
Zscaler,Dr Pepper Snapple Group,customer
Zscaler,Hormel,customer
Zscaler,McCormick,customer
Zscaler,Sage,customer
Zscaler,Sealed Air,customer
Palo Alto Networks,Juniper Networks,investment
Microsoft,Motorola,partnership
Dell,Microsoft,customer
Adobe,Dell,customer
Google,Dell,customer
Qualcomm,Google,customer
Accenture,Telstra,partnership
Accenture,Telstra,customer
Accenture,Oracle,investment
Accenture,Kimberly-Clark,partnership
Accenture,Vodafone,partnership
Accenture,Cisco,partnership
Accenture,Merck,partnership
Accenture,Telstra,investment
Accenture,AstraZeneca,customer
Accenture,Exelon,customer
Accenture,Dell,customer
Accenture,IBM,competitor
Accenture,Best Buy,customer
Accenture,Microsoft,investment
Microsoft,Cisco,customer
Google,Delta Air Lines,investment
Google,Delta Air Lines,partnership
Illumina,Pfizer,customer
Pfizer,Illumina,customer
Pfizer,Google,investment
Pfizer,Facebook,investment
Adobe,Dell,investment
Pinterest,Equifax,customer
Pinterest,Dell,customer
Google,Motorola,partnership
3M,West Pharmaceutical,competitor
Facebook,Oracle,customer
Microsoft,Kimberly-Clark,customer
Microsoft,Discovery Communications,customer
Microsoft,Facebook,competitor
Microsoft,Corning,competitor
Motorola,Microsoft,customer
Intel,Motorola,customer
Oracle,Intel,customer
Google,Microsoft,customer
Google,AMD,customer
Google,eBay,customer
IBM,Google,customer
Starbucks,IBM,customer
Oracle,Starbucks,customer
Oracle,IBM,investment
Oracle,Pinterest,partnership
Oracle,Booz Allen Hamilton,partnership
Cisco,Microsoft,customer
AMD,Intel,customer
AMD,Microsoft,customer
AMD,Dell,investment
TrueCar,Snapchat,competitor
Adobe,TrueCar,partnership
Adobe,Google,customer
Adobe,Motorola,customer
Adobe,IAG,investment
Adobe,Lowe's,investment
Adobe,Netflix,investment
Adobe,IBM,partnership
Adobe,Dell,partnership
Adobe,Cisco,customer
Google,Facebook,investment
Google,Microsoft,investment
Microsoft,Walmart,customer
Facebook,Microsoft,customer
Best Buy,Uber,partnership
Best Buy,Google,partnership
Best Buy,Pfizer,partnership
Best Buy,Facebook,partnership
Best Buy,Cisco,partnership
Best Buy,Pinterest,partnership
Best Buy,Walgreens,partnership
Microsoft,IBM,customer
Microsoft,Accenture,competitor
AbbVie,Pfizer,partnership
AbbVie,Boston Scientific,competitor
Qiagen,AstraZeneca,partnership
AstraZeneca,Qiagen,customer
AstraZeneca,Boston Scientific,investment
Woolworths,Telstra,customer
Woolworths,AbbVie,investment
Woolworths,Johnson & Johnson,investment
Woolworths,Pfizer,investment
Woolworths,Biogen Idec,partnership
Woolworths,Delta Air Lines,partnership
Woolworths,IBM,partnership
Woolworths,Facebook,investment
Woolworths,AstraZeneca,investment
Woolworths,Microsoft,investment
Woolworths,Telstra,investment
Woolworths,Walgreens,investment
Woolworths,Walmart,investment
Woolworths,Ameren,investment
eBay,Woolworths,customer
Microsoft,Autodesk,investment
Microsoft,Autodesk,partnership
Microsoft,Adobe,investment
Microsoft,Netflix,customer
Microsoft,Pinterest,partnership
Microsoft,Netflix,partnership
Microsoft,Netflix,investment
Accenture,IBM,customer
IBM,Microsoft,customer
Google,Intel,customer
Google,Microsoft,partnership
Google,Intel,partnership
AMD,eBay,customer
AMD,Qualcomm,customer
AMD,Microsoft,competitor
AMD,Intel,competitor
AMD,Google,competitor
Intel,Microsoft,partnership
Microsoft,AMD,customer
Microsoft,eBay,customer
Microsoft,Intel,competitor
Corning,Western Digital,customer
Microsoft,Intel,customer
Cisco,Dell,investment
Amgen,AstraZeneca,customer
Johnson & Johnson,Merck,competitor
Johnson & Johnson,Merck,partnership
Johnson & Johnson,AstraZeneca,partnership
Johnson & Johnson,Google,partnership
Johnson & Johnson,AstraZeneca,investment
