employees,altman_score,piotroski_score,Decarbonization Target_Target Year,Decarbonization Target_Comprehensiveness,Decarbonization Target_Ambition p.a.,Temperature Goal,esg,environmental_metric,social_metric,governance_metric,involvement_metric
606,2.64,7,2030,75.36,-1.86,2.6,19.7,4.01,10.86,2.01,1.03
13151,2.18,6,2030,68.56,-7.92,3.0,14.1,5.01,8.54,2.01,0.04
48000,1.36,7,2050,100.0,-3.57,1.5,18.7,5.01,9.04,2.01,0.04
111000,3.21,7,2050,100.0,-3.57,1.4,20.1,5.01,8.54,2.01,0.04
27000,1.0,7,2040,5.14,0.75,1.6,20.7,5.01,9.04,2.01,1.03
21000,4.17,8,2030,1.58,1.02,3.0,13.3,4.51,8.04,1.51,0.04
1600,-0.54,4,2050,0.12,1.14,2.8,21.7,4.01,9.04,1.51,0.04
101000,2.79,6,2035,1.31,0.95,3.4,27.9,5.01,11.19,2.34,1.03
24100,1.2,5,2040,100.0,-5.56,1.3,16.9,5.01,8.54,2.01,0.04
5867,3.35,6,2032,6.77,0.48,1.6,22.6,5.01,9.04,2.01,0.04
19300,6.33,8,2030,96.12,-0.52,3.4,13.4,4.51,9.54,2.01,1.03
282200,3.08,5,2030,100.0,-12.5,1.6,14.1,4.51,10.86,2.01,0.04
282200,3.08,5,2030,100.0,-12.5,1.6,14.1,4.51,10.86,2.01,0.04
50000,6.06,6,2040,100.0,-5.56,1.6,15.3,4.51,8.04,1.51,0.04
5908,2.74,5,2030,3.24,0.7,1.6,15.0,5.01,9.54,2.01,0.04
7570,3.3,4,2045,100.0,-4.35,1.3,20.8,5.01,7.54,2.01,0.04
282200,3.08,5,2030,100.0,-12.5,1.6,14.1,4.51,10.86,2.01,0.04
4014,32.64,8,2027,0.73,0.99,1.6,23.8,5.01,9.54,2.01,0.04
10726,6.97,3,2025,2.37,0.86,1.6,16.7,5.01,10.04,2.01,0.04
26300,3.06,7,2030,0.52,0.86,2.6,17.0,5.01,9.54,2.01,0.04
7900,5.72,6,2050,1.75,1.07,1.9,24.9,5.01,9.54,2.01,0.04
634,7.17,7,2030,100.0,-6.5,2.4,23.8,4.51,8.04,1.51,0.04
85000,3.34,5,2050,100.0,-3.45,1.7,21.6,4.51,8.54,2.01,0.04
