employees,altman_score,piotroski_score,Decarbonization Target_Target Year,Decarbonization Target_Comprehensiveness,Decarbonization Target_Ambition p.a.,Temperature Goal,esg,Weapons,Gambling,Tobacco,Alcoholic,Environment,controversies_metric,sdg_metric
41000.0,4.04,8,2030,45.47,-1.13,2.0,28.6,0.0,0.0,0.0,0.0,1.0,10.0,7.0
487.0,1.91,3,2040,100.0,-5.56,1.3,22.3,0.0,0.0,0.0,0.0,0.0,12.0,5.0
8525.0,1.67,6,2050,100.0,-3.57,1.5,14.8,0.0,0.0,0.0,0.0,0.0,12.0,5.0
60000.0,2.43,5,2030,13.43,0.22,2.4,23.3,0.0,0.0,0.0,0.0,1.0,11.0,4.0
49800.0,2.53,5,2028,91.55,-5.32,2.4,17.4,0.0,0.0,0.0,0.0,0.0,12.0,7.0
29000.0,4.98,8,2030,3.66,0.54,2.4,19.1,0.0,0.0,0.0,0.0,0.0,12.0,3.0
11200.0,23.64,6,2040,5.68,0.71,1.7,12.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0
26554.0,2.58,7,2030,20.04,-0.05,2.1,8.4,0.0,0.0,0.0,0.0,0.0,12.0,2.0
126756.0,1.96,8,2040,100.0,-5.26,1.5,38.1,0.0,0.0,0.0,0.0,0.0,9.0,6.0
5962.0,5.67,3,2025,100.0,-33.33,1.5,18.1,0.0,0.0,0.0,0.0,0.0,12.0,0.0
67000.0,4.22,7,2045,100.0,-4.35,1.6,24.5,0.0,0.0,0.0,0.0,0.0,12.0,3.0
43000.0,4.6,2,2050,33.14,-0.42,3.5,19.7,0.0,0.0,0.0,0.0,0.0,12.0,3.0
67317.0,11.3,7,2031,100.0,-11.11,1.3,33.9,0.0,0.0,0.0,0.0,0.0,6.0,1.0
500000.0,3.56,6,2035,46.71,-0.87,1.9,18.6,0.0,0.0,0.0,0.0,0.0,8.0,2.0
14049.0,2.26,6,2040,9.05,0.49,3.9,37.8,0.0,0.0,0.0,0.0,0.0,10.0,4.0
35300.0,0.42,5,2030,10.7,-0.41,1.9,19.9,0.0,0.0,0.0,1.0,0.0,12.0,2.0
606.0,2.64,7,2030,75.36,-1.86,2.6,19.7,0.0,0.0,0.0,1.0,0.0,8.0,3.0
13151.0,2.18,6,2030,68.56,-7.92,3.0,14.1,0.0,0.0,0.0,0.0,0.0,12.0,3.0
48000.0,1.36,7,2050,100.0,-3.57,1.5,18.7,0.0,0.0,0.0,0.0,0.0,12.0,2.0
111000.0,3.21,7,2050,100.0,-3.57,1.4,20.1,0.0,0.0,0.0,0.0,0.0,12.0,3.0
27000.0,1.0,7,2040,5.14,0.75,1.6,20.7,0.0,1.0,0.0,0.0,0.0,12.0,2.0
21000.0,4.17,8,2030,1.58,1.02,3.0,13.3,0.0,0.0,0.0,0.0,0.0,12.0,6.0
1600.0,-0.54,4,2050,0.12,1.14,2.8,21.7,0.0,0.0,0.0,0.0,0.0,12.0,5.0
101000.0,2.79,6,2035,1.31,0.95,3.4,27.9,1.0,0.0,0.0,0.0,0.0,6.0,1.0
24100.0,1.2,5,2040,100.0,-5.56,1.3,16.9,0.0,0.0,0.0,0.0,0.0,12.0,3.0
5867.0,3.35,6,2032,6.77,0.48,1.6,22.6,0.0,0.0,0.0,0.0,0.0,12.0,2.0
19300.0,6.33,8,2030,96.12,-0.52,3.4,13.4,0.0,0.0,0.0,1.0,0.0,12.0,2.0
282200.0,3.08,5,2030,100.0,-12.5,1.6,14.1,0.0,0.0,0.0,0.0,0.0,8.0,2.0
282200.0,3.08,5,2030,100.0,-12.5,1.6,14.1,0.0,0.0,0.0,0.0,0.0,8.0,2.0
50000.0,6.06,6,2040,100.0,-5.56,1.6,15.3,0.0,0.0,0.0,0.0,0.0,12.0,6.0
5908.0,2.74,5,2030,3.24,0.7,1.6,15.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0
7570.0,3.3,4,2045,100.0,-4.35,1.3,20.8,0.0,0.0,0.0,0.0,1.0,12.0,5.0
282200.0,3.08,5,2030,100.0,-12.5,1.6,14.1,0.0,0.0,0.0,0.0,0.0,8.0,2.0
4014.0,32.64,8,2027,0.73,0.99,1.6,23.8,0.0,0.0,0.0,0.0,0.0,12.0,1.0
10726.0,6.97,3,2025,2.37,0.86,1.6,16.7,0.0,0.0,0.0,0.0,0.0,12.0,0.0
26300.0,3.06,7,2030,0.52,0.86,2.6,17.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0
7900.0,5.72,6,2050,1.75,1.07,1.9,24.9,0.0,0.0,0.0,0.0,0.0,12.0,1.0
634.0,7.17,7,2030,100.0,-6.5,2.4,23.8,0.0,0.0,0.0,0.0,0.0,12.0,6.0
85000.0,3.34,5,2050,100.0,-3.45,1.7,21.6,0.0,0.0,0.0,0.0,0.0,12.0,4.0
53000.0,2.21,5,2050,100.0,-3.57,1.6,18.2,0.0,0.0,0.0,0.0,0.0,7.0,2.0
282200.0,3.08,5,2030,100.0,-12.5,1.6,14.1,0.0,0.0,0.0,0.0,0.0,8.0,2.0
21000.0,4.17,8,2030,1.58,1.02,3.0,13.3,0.0,0.0,0.0,0.0,0.0,12.0,6.0
12300.0,4.82,7,2035,4.09,0.81,3.8,17.4,0.0,0.0,0.0,0.0,0.0,10.0,2.0
14900.0,3.47,5,2040,100.0,-5.56,1.5,23.4,0.0,0.0,0.0,0.0,0.0,10.0,3.0
415000.0,3.46,7,2040,100.0,-5.56,1.5,18.2,0.0,0.0,0.0,0.0,0.0,10.0,4.0
56800.0,1.86,7,2040,100.0,-5.26,1.5,22.2,0.0,0.0,0.0,0.0,0.0,9.0,6.0
13000.0,7.18,8,2030,100.0,-12.5,1.7,16.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0
83700.0,6.0,8,2050,100.0,-3.57,1.5,18.9,0.0,0.0,0.0,0.0,0.0,8.0,2.0
11700.0,2.95,8,2030,3.89,0.85,2.8,21.5,0.0,0.0,0.0,0.0,0.0,12.0,8.0
50000.0,1.65,6,2032,100.0,-10.0,1.3,15.4,0.0,0.0,0.0,0.0,0.0,10.0,3.0
18000.0,2.56,7,2030,100.0,-10.2,1.3,22.4,0.0,0.0,0.0,0.0,0.0,8.0,4.0
19962.0,0.71,6,2050,54.0,-1.33,1.5,20.8,0.0,0.0,0.0,0.0,0.0,10.0,5.0
20300.0,14.5,9,2032,4.23,0.78,2.1,14.5,0.0,0.0,0.0,0.0,0.0,12.0,5.0
18600.0,1.94,7,2030,42.05,-0.64,2.9,27.9,0.0,0.0,0.0,0.0,0.0,10.0,3.0
58000.0,1.62,7,2050,5.07,0.91,1.6,21.1,0.0,0.0,0.0,0.0,0.0,10.0,2.0
7663.0,11.1,5,2040,100.0,-5.56,1.4,16.7,0.0,0.0,0.0,0.0,0.0,12.0,2.0
